id_inscripcion;id_previa;id_turno;id_fechaExamen;id_calificacion;libro;folio;createdAt;updatedAt
34;110;1;15;2;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
35;81;1;15;2;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
36;195;1;15;4;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
37;146;1;15;4;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
38;88;1;15;2;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
39;126;1;15;4;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
40;1116;1;15;2;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
41;163;1;16;4;68;31;2024-04-23 08:00:00;2024-04-23 08:00:00
42;192;1;16;9;68;31;2024-04-23 08:00:00;2024-04-23 08:00:00
43;226;1;16;2;68;31;2024-04-23 08:00:00;2024-04-23 08:00:00
44;194;1;16;9;68;31;2024-04-23 08:00:00;2024-04-23 08:00:00
45;170;1;16;9;68;31;2024-04-23 08:00:00;2024-04-23 08:00:00
46;187;1;16;9;68;31;2024-04-23 08:00:00;2024-04-23 08:00:00
47;658;1;17;2;68;32;2024-04-23 08:00:00;2024-04-23 08:00:00
48;266;1;17;9;68;32;2024-04-23 08:00:00;2024-04-23 08:00:00
49;674;1;17;2;68;32;2024-04-23 08:00:00;2024-04-23 08:00:00
50;269;1;17;9;68;32;2024-04-23 08:00:00;2024-04-23 08:00:00
51;272;1;17;2;68;32;2024-04-23 08:00:00;2024-04-23 08:00:00
52;3;1;18;4;68;33;2024-04-24 13:00:00;2024-04-24 13:00:00
53;8;1;18;2;68;33;2024-04-24 13:00:00;2024-04-24 13:00:00
54;35;1;18;2;68;33;2024-04-24 13:00:00;2024-04-24 13:00:00
55;42;1;18;2;68;33;2024-04-24 13:00:00;2024-04-24 13:00:00
56;89;1;19;6;68;34;2024-04-24 13:00:00;2024-04-24 13:00:00
57;218;1;20;9;68;36;2024-04-24 13:00:00;2024-04-24 13:00:00
58;1338;1;21;9;68;35;2024-04-24 13:00:00;2024-04-24 13:00:00
59;44;1;22;5;68;37;2024-04-29 13:00:00;2024-04-29 13:00:00
60;51;1;22;5;68;37;2024-04-29 13:00:00;2024-04-29 13:00:00
61;54;1;22;6;68;37;2024-04-29 13:00:00;2024-04-29 13:00:00
62;66;1;22;4;68;37;2024-04-29 13:00:00;2024-04-29 13:00:00
63;71;1;23;2;68;38;2024-04-29 13:00:00;2024-04-29 13:00:00
64;99;1;23;5;68;38;2024-04-29 13:00:00;2024-04-29 13:00:00
65;144;1;23;2;68;38;2024-04-29 13:00:00;2024-04-29 13:00:00
66;171;1;23;6;68;38;2024-04-29 13:00:00;2024-04-29 13:00:00
67;206;1;23;2;68;38;2024-04-29 13:00:00;2024-04-29 13:00:00
68;1337;1;24;10;68;40;2024-04-29 13:00:00;2024-04-29 13:00:00
69;1030;1;25;2;68;39;2024-04-29 13:00:00;2024-04-29 13:00:00
70;172;1;25;2;68;39;2024-04-29 13:00:00;2024-04-29 13:00:00
71;800;1;26;2;68;41;2024-04-29 13:00:00;2024-04-29 13:00:00
72;1038;1;26;9;68;41;2024-04-29 13:00:00;2024-04-29 13:00:00
73;1041;1;26;2;68;41;2024-04-29 13:00:00;2024-04-29 13:00:00
