"id_inscripcion_curso";"id_ciclo";"id_plan";"id_curso";"id_division";"id_alumno";"createdAt";"updatedAt"
189;57;5;18;3;584;"2024-12-02";"2024-12-02"
190;57;5;18;3;600;"2024-12-02";"2024-12-02"
191;57;5;18;3;609;"2024-12-02";"2024-12-02"
192;57;5;18;3;612;"2024-12-02";"2024-12-02"
193;57;5;18;3;634;"2024-12-02";"2024-12-02"
194;57;5;18;3;647;"2024-12-02";"2024-12-02"
195;57;5;18;3;655;"2024-12-02";"2024-12-02"
196;57;5;18;3;658;"2024-12-02";"2024-12-02"
197;57;5;18;3;675;"2024-12-02";"2024-12-02"
198;57;5;18;3;681;"2024-12-02";"2024-12-02"
199;57;5;18;3;687;"2024-12-02";"2024-12-02"
200;57;5;18;3;692;"2024-12-02";"2024-12-02"
201;57;5;18;3;915;"2024-12-02";"2024-12-02"
202;57;5;18;3;720;"2024-12-02";"2024-12-02"
203;57;5;18;3;732;"2024-12-02";"2024-12-02"
204;57;5;18;3;743;"2024-12-02";"2024-12-02"
205;57;5;18;3;747;"2024-12-02";"2024-12-02"
206;57;5;18;3;764;"2024-12-02";"2024-12-02"
207;57;5;18;3;770;"2024-12-02";"2024-12-02"
208;57;5;19;1;45;"2024-12-02";"2024-12-02"
209;57;5;19;1;54;"2024-12-02";"2024-12-02"
210;57;5;19;1;60;"2024-12-02";"2024-12-02"
211;57;5;19;1;64;"2024-12-02";"2024-12-02"
212;57;5;19;1;916;"2024-12-02";"2024-12-02"
213;57;5;19;1;795;"2024-12-02";"2024-12-02"
214;57;5;19;1;917;"2024-12-02";"2024-12-02"
215;57;5;19;1;918;"2024-12-02";"2024-12-02"
216;57;5;19;1;919;"2024-12-02";"2024-12-02"
217;57;5;19;1;281;"2024-12-02";"2024-12-02"
218;57;5;19;1;441;"2024-12-02";"2024-12-02"
219;57;5;19;1;505;"2024-12-02";"2024-12-02"
220;57;5;19;1;920;"2024-12-02";"2024-12-02"
221;57;5;19;1;522;"2024-12-02";"2024-12-02"
222;57;5;19;1;545;"2024-12-02";"2024-12-02"
223;57;5;19;1;546;"2024-12-02";"2024-12-02"
224;57;5;19;1;553;"2024-12-02";"2024-12-02"
225;57;5;19;1;556;"2024-12-02";"2024-12-02"
226;57;5;19;1;797;"2024-12-02";"2024-12-02"
227;57;5;19;1;921;"2024-12-02";"2024-12-02"
228;57;5;19;1;601;"2024-12-02";"2024-12-02"
229;57;5;19;1;922;"2024-12-02";"2024-12-02"
230;57;5;19;1;611;"2024-12-02";"2024-12-02"
231;57;5;19;1;654;"2024-12-02";"2024-12-02"
232;57;5;19;1;798;"2024-12-02";"2024-12-02"
233;57;5;19;1;669;"2024-12-02";"2024-12-02"
234;57;5;19;1;725;"2024-12-02";"2024-12-02"
235;57;5;19;1;745;"2024-12-02";"2024-12-02"
236;57;5;19;2;16;"2024-12-02";"2024-12-02"
237;57;5;19;2;923;"2024-12-02";"2024-12-02"
238;57;5;19;2;816;"2024-12-02";"2024-12-02"
239;57;5;19;2;793;"2024-12-02";"2024-12-02"
240;57;5;19;2;75;"2024-12-02";"2024-12-02"
241;57;5;19;2;924;"2024-12-02";"2024-12-02"
242;57;5;19;2;794;"2024-12-02";"2024-12-02"
243;57;5;19;2;154;"2024-12-02";"2024-12-02"
244;57;5;19;2;248;"2024-12-02";"2024-12-02"
245;57;5;19;2;276;"2024-12-02";"2024-12-02"
246;57;5;19;2;290;"2024-12-02";"2024-12-02"
247;57;5;19;2;925;"2024-12-02";"2024-12-02"
248;57;5;19;2;339;"2024-12-02";"2024-12-02"
249;57;5;19;2;415;"2024-12-02";"2024-12-02"
250;57;5;19;2;491;"2024-12-02";"2024-12-02"
251;57;5;19;2;926;"2024-12-02";"2024-12-02"
252;57;5;19;2;516;"2024-12-02";"2024-12-02"
253;57;5;19;2;520;"2024-12-02";"2024-12-02"
254;57;5;19;2;534;"2024-12-02";"2024-12-02"
255;57;5;19;2;796;"2024-12-02";"2024-12-02"
256;57;5;19;2;630;"2024-12-02";"2024-12-02"
257;57;5;19;2;665;"2024-12-02";"2024-12-02"
258;57;5;19;2;668;"2024-12-02";"2024-12-02"
259;57;5;19;2;800;"2024-12-02";"2024-12-02"
260;57;5;19;2;736;"2024-12-02";"2024-12-02"
261;57;5;19;2;742;"2024-12-02";"2024-12-02"
262;57;5;19;2;801;"2024-12-02";"2024-12-02"
263;57;5;19;2;927;"2024-12-02";"2024-12-02"
264;57;5;19;3;5;"2024-12-02";"2024-12-02"
265;57;5;19;3;38;"2024-12-02";"2024-12-02"
266;57;5;19;3;50;"2024-12-02";"2024-12-02"
267;57;5;19;3;97;"2024-12-02";"2024-12-02"
268;57;5;19;3;149;"2024-12-02";"2024-12-02"
269;57;5;19;3;151;"2024-12-02";"2024-12-02"
270;57;5;19;3;155;"2024-12-02";"2024-12-02"
271;57;5;19;3;210;"2024-12-02";"2024-12-02"
272;57;5;19;3;227;"2024-12-02";"2024-12-02"
273;57;5;19;3;928;"2024-12-02";"2024-12-02"
274;57;5;19;3;356;"2024-12-02";"2024-12-02"
275;57;5;19;3;391;"2024-12-02";"2024-12-02"
276;57;5;19;3;435;"2024-12-02";"2024-12-02"
277;57;5;19;3;490;"2024-12-02";"2024-12-02"
278;57;5;19;3;558;"2024-12-02";"2024-12-02"
279;57;5;19;3;563;"2024-12-02";"2024-12-02"
280;57;5;19;3;929;"2024-12-02";"2024-12-02"
281;57;5;19;3;610;"2024-12-02";"2024-12-02"
282;57;5;19;3;799;"2024-12-02";"2024-12-02"
283;57;5;19;3;433;"2024-12-02";"2024-12-02"
284;57;5;19;3;734;"2024-12-02";"2024-12-02"
285;57;5;19;3;759;"2024-12-02";"2024-12-02"
286;57;5;19;3;771;"2024-12-02";"2024-12-02"
287;57;6;20;1;81;"2024-12-02";"2024-12-02"
288;57;6;20;1;110;"2024-12-02";"2024-12-02"
289;57;6;20;1;131;"2024-12-02";"2024-12-02"
290;57;6;20;1;133;"2024-12-02";"2024-12-02"
291;57;6;20;1;143;"2024-12-02";"2024-12-02"
292;57;6;20;1;930;"2024-12-02";"2024-12-02"
293;57;6;20;1;189;"2024-12-02";"2024-12-02"
294;57;6;20;1;804;"2024-12-02";"2024-12-02"
295;57;6;20;1;285;"2024-12-02";"2024-12-02"
296;57;6;20;1;931;"2024-12-02";"2024-12-02"
297;57;6;20;1;932;"2024-12-02";"2024-12-02"
298;57;6;20;1;933;"2024-12-02";"2024-12-02"
299;57;6;20;1;377;"2024-12-02";"2024-12-02"
300;57;6;20;1;420;"2024-12-02";"2024-12-02"
301;57;6;20;1;475;"2024-12-02";"2024-12-02"
302;57;6;20;1;934;"2024-12-02";"2024-12-02"
